# Curated newsgroups — the groups worth indexing, so a fresh install doesn't
# face ~100,000 groups with no idea which carry real content.
#
# Rows are INSERT-ONLY: seeding adds groups that aren't present and never
# touches ones that are. A group you enabled, disabled, or deleted stays exactly
# as you left it across upgrades.
#
# Seeded groups arrive INACTIVE on purpose — this is a curated picker list, not
# an instruction to start crawling fifty groups on first boot. Enable the ones
# you want in the admin wizard.
#
# Tab-separated. Lines starting with # are comments.
#
# Columns:
#   name   the newsgroup, exactly as the server lists it
#   pack   which pack it belongs to: anime | movies | tv | music | books | misc
#          (a row can only be in one pack; ship the same group twice if it
#          genuinely serves two, or use "misc")
#   notes  optional, why it's here
#
# GENERATED CONTENT: populate this from a real, running indexer rather than by
# hand — an install that has actually been crawling knows which groups carry
# content. See scripts/export-newsgroups.sh, which dumps exactly this format:
#
#   scripts/export-newsgroups.sh --dsn "$DSN" --pack anime >> usenet/seed/newsgroups.tsv
#
# Unlike the coverage ranges, group names ARE portable — every provider carries
# the same group names, so a pack exported from one install is meaningful on any
# other. (Article NUMBERS are the per-backbone part; names are not.)
#
# name	pack	notes

# --- anime ---
alt.binaries.anime	anime	primary anime group
alt.binaries.anime.german	anime	German-language anime
alt.binaries.anime.repost	anime	reposts of alt.binaries.anime
alt.binaries.cartoons.french.animes-fansub	anime	French fansubbed anime
alt.binaries.dvd.anime	anime	anime DVD rips
alt.binaries.dvd.anime.repost	anime	reposts of alt.binaries.dvd.anime
alt.binaries.multimedia.anime	anime	
alt.binaries.multimedia.anime.highspeed	anime	high-speed anime posts
alt.binaries.multimedia.anime.repost	anime	reposts
alt.binaries.multimedia.cartoons	anime	(judgment) mixed western cartoons + anime; move to misc if you only want anime
alt.binaries.multimedia.cartoons.repost	anime	(judgment) reposts; same caveat as the parent group
alt.binaries.multimedia.japanese	anime	Japanese media, largely anime
alt.binaries.multimedia.japanese.repost	anime	reposts
alt.binaries.sounds.anime	anime	(judgment) anime audio/OST — arguably pack=music

# --- tv ---
alt.binaries.hdtv	tv	HDTV captures
alt.binaries.hdtv.repost	tv	reposts of alt.binaries.hdtv
alt.binaries.hdtv.tv-episodes	tv	HDTV episodes
alt.binaries.hdtv.x264	tv	x264 HDTV
alt.binaries.tvshows	tv	

# --- movies ---
alt.binaries.blu-ray	movies	Blu-ray rips, general
alt.binaries.dvd.english	movies	English DVD rips
alt.binaries.movie	movies	
alt.binaries.movies	movies	
alt.binaries.movies.dvd	movies	movie DVD rips
alt.binaries.movies.repost	movies	reposts of alt.binaries.movies

# --- misc ---
alt.binaries.dvd.misc	misc	mixed DVD rips
alt.binaries.multimedia	misc	general multimedia, mixed content
alt.binaries.nzb	misc	NZB posts rather than content
